Date,Open,High,Low,Close
08-Jan-02,3407.57,3454.5,3397.16,3437.78
09-Jan-02,3440.44,3466.73,3392.61,3400.89
10-Jan-02,3396.09,3413.25,3371.91,3381.96
11-Jan-02,3381.41,3401.8,3298.85,3362.88
14-Jan-02,3373.69,3446.92,3373.69,3407.84
15-Jan-02,3405.9,3413.02,3340.01,3352.52
16-Jan-02,3357.17,3393.34,3331.4,3348.8
17-Jan-02,3348.8,3420.24,3309.97,3401.15
18-Jan-02,3408.28,3439.83,3366.14,3377.05
21-Jan-02,3370.5,3396.92,3369.73,3382.29
22-Jan-02,3383,3402.92,3365.01,3368.28
23-Jan-02,3368.91,3397.76,3365.53,3373.07
24-Jan-02,3380.75,3399.09,3352.84,3357.79
25-Jan-02,3358.2,3366,3326.02,3332.3
28-Jan-02,3338.37,3363.17,3312.74,3317.64
29-Jan-02,3317.61,3332.56,3304.12,3313.28
30-Jan-02,3302.73,3309.98,3275.58,3298.79
31-Jan-02,3305.91,3339.98,3303.01,3311.03
01-Feb-02,3334.69,3356.05,3325.98,3333.92
04-Feb-02,3336.17,3353.29,3312.55,3317.01
05-Feb-02,3316.42,3322.43,3290,3311.73
06-Feb-02,3329.23,3433.02,3329.23,3427.39
07-Feb-02,3439.62,3495.83,3423.31,3436.94
08-Feb-02,3444.89,3514.75,3444.87,3493.92
11-Feb-02,3500.41,3551.95,3500.41,3515.45
12-Feb-02,3523.3,3554.73,3480.1,3497.68
13-Feb-02,3504.89,3535.57,3504.89,3519.87
14-Feb-02,3544.32,3564.35,3536.35,3557.06
15-Feb-02,3560.98,3612.83,3560.98,3602.02
18-Feb-02,3611.32,3651.02,3586.78,3633.93
19-Feb-02,3641.78,3652.76,3588.93,3597.61
20-Feb-02,3572.96,3583.17,3542.06,3558.21
21-Feb-02,3569.95,3590.99,3558.82,3570.46
22-Feb-02,3565.64,3605.59,3558.09,3604.08
25-Feb-02,3610.21,3618.3,3580.89,3613.51
26-Feb-02,3631.55,3726.76,3631.55,3712.74
27-Feb-02,3721.44,3758.11,3677.62,3705.66
28-Feb-02,3711.1,3731.28,3537.19,3562.31
01-Mar-02,3551.56,3693.92,3551.56,3678.75
04-Mar-02,3734.04,3758.27,3635.38,3642.58
05-Mar-02,3655.08,3692.53,3634.26,3641.1
06-Mar-02,3647.09,3656.87,3585.83,3614.44
07-Mar-02,3621.07,3691.93,3621.07,3690.27
08-Mar-02,3692.61,3703.79,3645.9,3656.77
11-Mar-02,3675.26,3675.26,3594.6,3603.97
12-Mar-02,3603.16,3603.16,3522.91,3535.8
13-Mar-02,3531.48,3601.82,3531.02,3569.62
14-Mar-02,3573.98,3590.43,3562.17,3580.83
15-Mar-02,3593.56,3626.33,3590.34,3617.68
18-Mar-02,3633.37,3663.4,3603.98,3613.28
19-Mar-02,3618.39,3629.48,3554.65,3560.32
20-Mar-02,3576.23,3587.2,3556.74,3581.32
21-Mar-02,3580.23,3582.55,3530.01,3536.26
22-Mar-02,3555.38,3555.38,3506.55,3516.11
26-Mar-02,3517.36,3566.08,3461.09,3466.29
27-Mar-02,3472.96,3503.8,3454.27,3459.08
28-Mar-02,3464.32,3499.53,3462.12,3469.35
01-Apr-02,3482.94,3519.32,3482.94,3500.18
02-Apr-02,3505.4,3537.29,3490.87,3505.79
03-Apr-02,3500.76,3500.76,3458.85,3462.99
04-Apr-02,3463.29,3529.02,3463.29,3512.55
05-Apr-02,3516.43,3538.49,3499.06,3500.57
08-Apr-02,3502.09,3521.41,3478.93,3480.17
09-Apr-02,3482.51,3491.6,3447.78,3463.33
10-Apr-02,3465.39,3494.19,3460.03,3479.59
11-Apr-02,3482.44,3512.28,3482.44,3497.67
12-Apr-02,3496.39,3521.42,3488.62,3510.9
15-Apr-02,3514.01,3533.02,3454.98,3461.51
16-Apr-02,3459.08,3459.08,3411.73,3413.72
17-Apr-02,3444.09,3458.79,3412.71,3421.82
18-Apr-02,3425.71,3439.47,3408.04,3420.94
19-Apr-02,3420.04,3430.37,3359.24,3364.4
22-Apr-02,3364.18,3396.52,3332.74,3390.25
23-Apr-02,3387.7,3412.16,3383.11,3403.82
24-Apr-02,3408.84,3420.97,3401.55,3411.92
25-Apr-02,3420.62,3421.88,3350.94,3359.64
26-Apr-02,3364.18,3383.71,3362.83,3371.7
29-Apr-02,3372.94,3372.94,3296.88,3301.21
30-Apr-02,3303.1,3340.36,3303.1,3338.16
02-May-02,3361.33,3383.93,3357.76,3372.56
03-May-02,3372.75,3385.22,3364.85,3380.61
06-May-02,3386.01,3394.89,3375.7,3384.35
07-May-02,3378.22,3425.5,3372.24,3423.75
08-May-02,3434.24,3453.73,3432.54,3435.06
09-May-02,3458.31,3478.02,3448.37,3462.01
10-May-02,3454.85,3456.78,3414.37,3431.32
13-May-02,3436.87,3446.51,3429.88,3442.49
14-May-02,3450.58,3458.58,3412,3420.33
15-May-02,3422.07,3435.68,3382.11,3395.59
16-May-02,3399.14,3405.29,3342.34,3355.61
17-May-02,3357.29,3373.4,3310.86,3333.76
20-May-02,3343.66,3361.77,3274.62,3282.81
21-May-02,3266.16,3266.16,3127.87,3186.53
22-May-02,3187.54,3198.81,3144.18,3175.49
23-May-02,3193.64,3193.64,3106.56,3114.05
24-May-02,3153.03,3261.9,3153.03,3255.62
27-May-02,3264.19,3264.19,3200.94,3243.41
28-May-02,3231.82,3231.82,3140.38,3146.83
29-May-02,3155.67,3179.85,3108,3160.24
30-May-02,3161.9,3192.5,3131.63,3135.89
31-May-02,3136.41,3140.03,3097.73,3125.73
03-Jun-02,3162.27,3185.57,3148.57,3161.09
